Price,Close,High,Low,Open,Volume
Ticker,PLTR,PLTR,PLTR,PLTR,PLTR
Date,,,,,
2023-01-03,6.389999866485596,6.639999866485596,6.275000095367432,6.579999923706055,29969900
2023-01-04,6.579999923706055,6.675000190734863,6.369999885559082,6.480000019073486,31660500
2023-01-05,6.320000171661377,6.489999771118164,6.25,6.449999809265137,34186000
2023-01-06,6.400000095367432,6.449999809265137,6.090000152587891,6.400000095367432,30596400
2023-01-09,6.5,6.670000076293945,6.400000095367432,6.489999771118164,31028900
2023-01-10,6.699999809265137,6.71999979019165,6.489999771118164,6.5,28236600
2023-01-11,6.980000019073486,6.989999771118164,6.760000228881836,6.840000152587891,25936700
2023-01-12,7.010000228881836,7.050000190734863,6.78000020980835,7.010000228881836,30152500
2023-01-13,6.960000038146973,7.010000228881836,6.809999942779541,6.840000152587891,20981000
2023-01-17,7.070000171661377,7.150000095367432,6.730000019073486,6.989999771118164,30910300
2023-01-18,6.900000095367432,7.300000190734863,6.880000114440918,7.15500020980835,32743400
2023-01-19,6.730000019073486,6.894999980926514,6.670000076293945,6.800000190734863,24841700
2023-01-20,7.019999980926514,7.059999942779541,6.71999979019165,6.760000228881836,28751700
2023-01-23,7.380000114440918,7.409999847412109,6.991000175476074,7.03000020980835,31633300
2023-01-24,7.019999980926514,7.420000076293945,7.0,7.0,22649500
2023-01-25,7.21999979019165,7.269999980926514,6.690000057220459,6.920000076293945,37147900
2023-01-26,7.239999771118164,7.449999809265137,7.039999961853027,7.369999885559082,28005600
2023-01-27,7.550000190734863,7.730000019073486,7.139999866485596,7.190000057220459,37555200
2023-01-30,7.369999885559082,7.610000133514404,7.360000133514404,7.5,28567800
2023-01-31,7.78000020980835,7.820000171661377,7.380000114440918,7.409999847412109,40984000
2023-02-01,8.199999809265137,8.220000267028809,7.679999828338623,7.730000019073486,50123700
2023-02-02,8.989999771118164,9.210000038146973,8.470000267028809,8.510000228881836,71889700
2023-02-03,8.40999984741211,8.899999618530273,8.373000144958496,8.539999961853027,64785500
2023-02-06,8.3100004196167,8.53499984741211,8.239999771118164,8.3100004196167,38845500
2023-02-07,8.329999923706055,8.40999984741211,8.0600004196167,8.329999923706055,42201800
2023-02-08,8.220000267028809,8.569999694824219,8.170000076293945,8.25,35105500
2023-02-09,7.949999809265137,8.430000305175781,7.940000057220459,8.34000015258789,33366700
2023-02-10,7.510000228881836,7.860000133514404,7.460000038146973,7.789999961853027,43042400
2023-02-13,7.610000133514404,7.775000095367432,7.449999809265137,7.579999923706055,87397100
2023-02-14,9.220000267028809,9.295000076293945,8.229999542236328,8.59000015258789,216055200
2023-02-15,10.109999656677246,10.229999542236328,9.109999656677246,9.15999984741211,153210400
2023-02-16,9.710000038146973,10.3100004196167,9.600000381469727,9.649999618530273,88638800
2023-02-17,9.199999809265137,9.710000038146973,9.085000038146973,9.569999694824219,62137800
2023-02-21,8.470000267028809,9.100000381469727,8.399999618530273,9.010000228881836,65226600
2023-02-22,8.359999656677246,8.625,8.15999984741211,8.479999542236328,55346000
2023-02-23,8.170000076293945,8.479999542236328,7.909999847412109,8.420000076293945,60015500
2023-02-24,8.09000015258789,8.199999809265137,7.869999885559082,7.940000057220459,41518600
2023-02-27,8.029999732971191,8.229999542236328,7.960000038146973,8.119999885559082,35270000
2023-02-28,7.840000152587891,8.097000122070312,7.800000190734863,7.960000038146973,32937000
2023-03-01,7.690000057220459,7.909999847412109,7.690000057220459,7.829999923706055,27939100
2023-03-02,7.96999979019165,8.029999732971191,7.559999942779541,7.590000152587891,36538700
2023-03-03,8.329999923706055,8.5,8.0,8.0,43229100
2023-03-06,8.279999732971191,8.449999809265137,8.199999809265137,8.34000015258789,28316200
2023-03-07,8.279999732971191,8.425000190734863,8.1899995803833,8.274999618530273,26819600
2023-03-08,8.130000114440918,8.579999923706055,8.0600004196167,8.359999656677246,38723600
2023-03-09,7.690000057220459,8.260000228881836,7.679999828338623,8.069999694824219,29005900
2023-03-10,7.349999904632568,7.679999828338623,7.28000020980835,7.590000152587891,41953600
2023-03-13,7.869999885559082,8.149999618530273,7.190000057220459,7.289999961853027,63183500
2023-03-14,7.889999866485596,8.140000343322754,7.78000020980835,8.050000190734863,33460100
2023-03-15,7.900000095367432,7.989999771118164,7.699999809265137,7.809999942779541,28217400
2023-03-16,7.980000019073486,8.079999923706055,7.860000133514404,8.010000228881836,20255400
2023-03-17,7.880000114440918,8.029999732971191,7.840000152587891,7.929999828338623,20920800
2023-03-20,8.079999923706055,8.095000267028809,7.71999979019165,7.764999866485596,25497400
2023-03-21,8.449999809265137,8.510000228881836,8.170000076293945,8.199999809265137,27104500
2023-03-22,8.210000038146973,8.619999885559082,8.199999809265137,8.4399995803833,34151000
2023-03-23,8.329999923706055,8.5600004196167,8.15999984741211,8.319999694824219,22662200
2023-03-24,8.199999809265137,8.350000381469727,8.0600004196167,8.289999961853027,17901200
2023-03-27,8.039999961853027,8.319999694824219,7.940000057220459,8.149999618530273,20666800
2023-03-28,8.0,8.119999885559082,7.96999979019165,8.0600004196167,14860500
2023-03-29,8.220000267028809,8.25,8.050999641418457,8.09000015258789,15339700
2023-03-30,8.149999618530273,8.380000114440918,8.050000190734863,8.329999923706055,21001600
2023-03-31,8.449999809265137,8.479999542236328,8.079999923706055,8.149999618530273,26174800
2023-04-03,8.380000114440918,8.529999732971191,8.210000038146973,8.369999885559082,22512000
2023-04-04,8.350000381469727,8.539999961853027,8.229999542236328,8.529999732971191,23961200
2023-04-05,7.980000019073486,8.649999618530273,7.840000152587891,8.630000114440918,54946900
2023-04-06,8.09000015258789,8.140000343322754,7.789999961853027,7.880000114440918,23488600
2023-04-10,8.390000343322754,8.4399995803833,7.900000095367432,8.0,29184700
2023-04-11,8.609999656677246,8.789999961853027,8.34000015258789,8.350000381469727,35617900
2023-04-12,8.329999923706055,8.774999618530273,8.300000190734863,8.75,28771300
2023-04-13,8.579999923706055,8.699999809265137,8.430000305175781,8.5,27983300
2023-04-14,8.8100004196167,8.90999984741211,8.470000267028809,8.529999732971191,42364500
2023-04-17,8.800000190734863,9.039999961853027,8.779999732971191,8.8100004196167,26047500
2023-04-18,8.729999542236328,9.020000457763672,8.720000267028809,8.930000305175781,21185300
2023-04-19,8.489999771118164,8.657999992370605,8.479999542236328,8.579999923706055,18193700
2023-04-20,8.149999618530273,8.5,8.130000114440918,8.289999961853027,23573000
2023-04-21,8.180000305175781,8.220000267028809,8.09000015258789,8.140000343322754,14896700
2023-04-24,8.100000381469727,8.25,7.940000057220459,8.15999984741211,20439300
2023-04-25,7.739999771118164,8.020000457763672,7.730000019073486,8.0,21849100
2023-04-26,7.739999771118164,7.909999847412109,7.650000095367432,7.869999885559082,21396700
2023-04-27,7.820000171661377,7.909999847412109,7.71999979019165,7.829999923706055,21385500
2023-04-28,7.75,8.0,7.619999885559082,7.769999980926514,24924400
2023-05-01,7.78000020980835,7.820000171661377,7.659999847412109,7.75,19134200
2023-05-02,7.590000152587891,7.909999847412109,7.429999828338623,7.71999979019165,38008000
2023-05-03,7.559999942779541,7.679999828338623,7.449999809265137,7.619999885559082,24322400
2023-05-04,7.380000114440918,7.519999980926514,7.28000020980835,7.46999979019165,29989300
2023-05-05,7.409999847412109,7.550000190734863,7.320000171661377,7.440000057220459,45848800
2023-05-08,7.739999771118164,7.855000019073486,7.590000152587891,7.639999866485596,105304000
2023-05-09,9.550000190734863,9.6899995803833,8.654999732971191,9.220000267028809,223573300
2023-05-10,9.9399995803833,10.300000190734863,9.460000038146973,9.729999542236328,149375000
2023-05-11,9.880000114440918,10.159000396728516,9.710000038146973,10.140000343322754,73754100
2023-05-12,9.5,10.010000228881836,9.470000267028809,9.859999656677246,62123900
2023-05-15,9.520000457763672,9.600000381469727,9.020000457763672,9.210000038146973,53555500
2023-05-16,9.470000267028809,9.630000114440918,9.350000381469727,9.399999618530273,42311900
2023-05-17,10.25,10.28499984741211,9.460000038146973,9.539999961853027,63834500
2023-05-18,11.739999771118164,11.8100004196167,10.390000343322754,10.460000038146973,171402300
2023-05-19,11.710000038146973,12.40999984741211,11.520000457763672,11.970000267028809,150269300
2023-05-22,11.84000015258789,12.104999542236328,11.390000343322754,11.619999885559082,76377100
2023-05-23,12.640000343322754,13.420000076293945,11.869999885559082,11.949999809265137,148701800
2023-05-24,12.229999542236328,12.430000305175781,11.819999694824219,12.050000190734863,90496900
2023-05-25,12.84000015258789,13.220000267028809,12.34000015258789,13.180000305175781,106557800
2023-05-26,13.649999618530273,14.194999694824219,12.819999694824219,12.84000015258789,127311200
2023-05-30,14.710000038146973,15.005000114440918,14.239999771118164,14.4399995803833,159089300
2023-05-31,14.710000038146973,14.789999961853027,13.819999694824219,14.1899995803833,130392200
2023-06-01,14.539999961853027,15.220000267028809,14.199999809265137,14.460000038146973,126015100
2023-06-02,14.520000457763672,15.029999732971191,14.15999984741211,14.649999618530273,79487600
2023-06-05,15.239999771118164,15.699999809265137,14.364999771118164,14.364999771118164,109017800
2023-06-06,15.460000038146973,15.579999923706055,14.920000076293945,15.300000190734863,74284300
2023-06-07,14.6899995803833,17.15999984741211,14.520000457763672,16.010000228881836,227244100
2023-06-08,15.1899995803833,15.59000015258789,14.390000343322754,14.4399995803833,115591600
2023-06-09,15.020000457763672,15.979999542236328,14.819999694824219,15.359999656677246,94126300
2023-06-12,15.649999618530273,16.030000686645508,15.329999923706055,15.4399995803833,89900400
2023-06-13,16.0,16.270000457763672,15.163000106811523,16.18000030517578,112765900
2023-06-14,15.90999984741211,16.190000534057617,15.4399995803833,15.930000305175781,70871900
2023-06-15,16.600000381469727,16.790000915527344,15.489999771118164,15.65999984741211,91200900
2023-06-16,16.299999237060547,16.90999984741211,16.010000228881836,16.8700008392334,90696200
2023-06-20,15.789999961853027,16.889999389648438,15.579999923706055,15.989999771118164,81335000
2023-06-21,14.640000343322754,15.755000114440918,14.369999885559082,15.65999984741211,97885000
2023-06-22,14.050000190734863,14.4399995803833,13.859999656677246,14.300000190734863,103461000
2023-06-23,14.029999732971191,14.140000343322754,13.5600004196167,13.640000343322754,74851000
2023-06-26,13.9399995803833,14.420000076293945,13.829999923706055,13.869999885559082,50679900
2023-06-27,14.609999656677246,14.760000228881836,13.960000038146973,14.220000267028809,55410500
2023-06-28,15.279999732971191,15.430000305175781,14.46500015258789,14.529999732971191,66001000
2023-06-29,15.199999809265137,15.569999694824219,15.0600004196167,15.399999618530273,46300900
2023-06-30,15.329999923706055,15.800000190734863,15.229999542236328,15.479999542236328,42195300
2023-07-03,15.520000457763672,15.59000015258789,15.1899995803833,15.489999771118164,26037400
